licence,nom,prenom,ville,club_nom,club_ville,points_elo,rang_national,rang_ligue,rang_comite,classement_officiel,niveau_categorie,nombre_matchs,victoires,defaites
46496,PERSSON,Jon Sebastian,,ATL SAN SEBASTIAN,,2894.1,,1,,Top Nacional,avance,8,8,0
34298,LI,Fen,,UCAM TM CARTAGENA,,2885.0,,1,,Top Nacional,avance,25,24,1
47236,CIFUENTES,Horacio,,CTT BORGES,,2838.3,,1,,Top Nacional,avance,11,10,1
17121,FERREIRA,Diogo Miguel,,REAL CLUB PRIEGO TM,,2795.3,,1,,Top Nacional,avance,49,45,4
48382,TAGUCHI,Emiko,,BURGOS FÉMINAS TM,,2793.7,,1,,Top Nacional,avance,11,9,2
44150,OLAH,Benedek Marton,,LEKA ENEA IRUN,,2787.3,,2,,Top Nacional,avance,18,15,3
37651,MADARASZ,Dora,,JEREZ,,2783.7,,1,,Top Nacional,avance,2,2,0
47019,BOULOUSSA,Mehdi,,C.T.T. ALZIRA,,2777.2,,1,,Top Nacional,avance,10,9,1
43191,BADOWSKI,Marek Piotr,,ALICANTE TM,,2773.5,,2,,Top Nacional,avance,18,17,1
44368,QI,Fei,,UCAM TM CARTAGENA,,2768.1,,2,,Top Nacional,avance,45,37,8
46761,YUCHANG,Tao,,REAL CLUB PRIEGO TM,,2764.7,,2,,Top Nacional,avance,11,10,1
33851,YEH,Chih-Wei,,L´ESCALA,,2764.3,,2,,Top Nacional,avance,37,32,5
39598,MENG,Jiaqi,,PRIEGO MUJER Y PROGRESO TM,,2764.3,,2,,Top Nacional,avance,51,41,10
47118,NOMURA,Moe,,CD INDIANA GAMES,,2751.2,,3,,Top Nacional,avance,8,7,1
9486,XIAO,Maria,,UCAM TM CARTAGENA,,2744.7,1,3,,Top Nacional,avance,50,39,11
43246,LEBESSON,Emmanuel Yann,,C.T.T. ALZIRA,,2744.3,,3,,Top Nacional,avance,9,8,1
46474,DESAI,Harmet Rajul,,L´HOSPITALET,,2739.3,,3,,Top Nacional,avance,2,2,0
44188,WEGRZYN,Katarzyna Krystyna,,SON CLADERA TTC,,2735.0,,1,,Top Nacional,avance,9,7,2
46603,GUO,Ruichen,,TT GANXETS,,2733.0,,1,,Top Nacional,avance,20,16,4
39149,MUTTI,Matteo,,C.T.T. ALZIRA,,2721.1,,4,,Top Nacional,avance,12,8,4
8195,ZHANG,Sofia-Xuan,,CDTM HUJASE JAEN,,2713.8,2,4,,Top Nacional,avance,42,35,7
44005,CHANDRA,Jeet,,L´ESCALA,,2712.9,,4,,Top Nacional,avance,12,6,6
44380,SGOUROPOULOS,Ioannis,,ARTEAL TM,,2696.4,,1,,Top Nacional,avance,21,15,6
45765,KULCZYCKI,Samuel Szymon,,L´ESCALA,,2688.4,,5,,Top Nacional,avance,6,5,1
43917,PESOTSKA,Margaryta,,CDTM HUJASE JAEN,,2687.9,,5,,Top Nacional,avance,38,31,7
41733,ZATÓWKA,Patryk,,ALICANTE TM,,2687.6,,5,,Top Nacional,avance,20,14,6
45768,OJIO,Haruna,,CD INDIANA GAMES,,2687.6,,6,,Top Nacional,avance,20,20,0
36654,GARDOS,Robert,,REAL CLUB PRIEGO TM,,2672.0,,3,,Top Nacional,avance,9,8,1
27846,ERDELYI,Annamaria,,BURGOS FÉMINAS TM,,2671.2,,2,,Top Nacional,avance,65,50,15
45729,ZHU,Peiyu,,TT GANXETS,,2668.6,,2,,Top Nacional,avance,18,14,4
46988,UGI,Ayano,,SON CLADERA TTC,,2666.3,,2,,Top Nacional,avance,13,9,4
36961,HAPONOVA,Hanna,,CDTM HUJASE JAEN,,2665.2,,7,,Top Nacional,avance,37,29,8
3713,ROBLES,Alvaro,,INDEPENDIENTE-RFETM,,2659.2,,1,,Top Nacional,avance,12,10,2
44250,LEWANDOWSKI,Tomasz Marcin,,CTT SANT JORDI,,2658.2,,1,,Top Nacional,avance,20,19,1
27294,BILENKO,Tetyana,,SON CLADERA TTC,,2657.8,,3,,Top Nacional,avance,22,18,4
22235,SODERLUND,Hampus Ke Hannes,,REAL CLUB PRIEGO TM,,2654.0,,4,,Top Nacional,avance,34,28,6
17879,PEREZ,Juan,,INDEPENDIENTE-RFETM,,2651.6,1,2,,Top Nacional,avance,30,26,4
37210,HODAEI,Seyed Amir,,ALICANTE TM,,2647.1,,6,,Top Nacional,avance,6,4,2
40924,KAWAKITA,Honoka,,VIC T.T.,,2646.5,,3,,Top Nacional,avance,31,22,9
21157,CAMPOS VALDES,Jorge Moises,,ARTEAL TM,,2646.3,,2,,Top Nacional,avance,4,3,1
39327,CHEN,Diogo Jiahong,,REAL CLUB PRIEGO TM,,2641.8,,5,,Top Nacional,avance,35,29,6
47129,SAKANE,Shodai,,BURGOS TM,,2639.9,,1,,Top Nacional,avance,19,12,7
44187,SIM,Hyunju,,CD INDIANA GAMES,,2637.6,,8,,Top Nacional,avance,9,8,1
39630,KULAKÇEKEN,Simay,,SAN SEBASTIAN REYES,,2635.6,,1,,Top Nacional,avance,20,20,0
